type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,sou,eghi,8,5.0,2022-02-04t17:20:00.000,2022-02-04t17:25:00.000,,,,ams,eham,13,a08,2022-02-04t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,22.0,2022-02-06t17:20:00.000,2022-02-06t17:20:00.000,2022-02-06t17:41:00.000,2022-02-06t17:41:00.000,2022-02-06t17:41:00.000,ams,eham,8,a08,2022-02-06t19:35:00.000,2022-02-06t19:29:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,1.0,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,ams,eham,8,a08,2022-02-07t19:35:00.000,2022-02-07t19:07:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,8.0,2022-02-11t17:20:00.000,2022-02-11t17:20:00.000,2022-02-11t17:28:00.000,2022-02-11t17:28:00.000,2022-02-11t17:28:00.000,ams,eham,13,a08,2022-02-11t19:35:00.000,2022-02-11t19:18:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,5.0,2022-02-13t17:20:00.000,2022-02-13t17:25:00.000,2022-02-13t17:25:00.000,2022-02-13t17:25:00.000,2022-02-13t17:25:00.000,ams,eham,13,a08,2022-02-13t19:35:00.000,2022-02-13t19:10:00.000,klm,kl,klm,920,kl920,klm920,,2022-02-13t19:15:00.000,2022-02-13t19:15:00.000,2022-02-13t19:15:00.000,
departure,active,sou,eghi,8a,2.0,2022-02-14t17:20:00.000,2022-02-14t17:20:00.000,2022-02-14t17:22:00.000,2022-02-14t17:22:00.000,2022-02-14t17:22:00.000,ams,eham,13,a08,2022-02-14t19:35:00.000,2022-02-14t19:08:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,cancelled,sou,eghi,,,2022-02-18t17:20:00.000,,,,,ams,eham,,,2022-02-18t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,cancelled,sou,eghi,,,2022-02-20t17:20:00.000,2022-02-20t17:20:00.000,,,,ams,eham,,a08,2022-02-20t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,22.0,2022-02-21t17:20:00.000,2022-02-21t17:20:00.000,2022-02-21t17:42:00.000,2022-02-21t17:42:00.000,2022-02-21t17:42:00.000,ams,eham,10,d31,2022-02-21t19:35:00.000,2022-02-21t19:34:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,39.0,2022-02-24t17:20:00.000,2022-02-24t17:35:00.000,2022-02-24t17:58:00.000,2022-02-24t17:58:00.000,2022-02-24t17:58:00.000,ams,eham,9,d29,2022-02-24t19:40:00.000,2022-02-24t19:48:00.000,klm,kl,klm,920,kl920,klm920,2,,,,9.0
departure,active,sou,eghi,8a,10.0,2022-02-25t17:20:00.000,2022-02-25t17:20:00.000,2022-02-25t17:30:00.000,2022-02-25t17:30:00.000,2022-02-25t17:30:00.000,ams,eham,9,a08,2022-02-25t19:35:00.000,2022-02-25t19:22:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,33.0,2022-02-27t17:20:00.000,2022-02-27t17:20:00.000,2022-02-27t17:53:00.000,2022-02-27t17:53:00.000,2022-02-27t17:53:00.000,ams,eham,9,d28,2022-02-27t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,19.0,2022-02-28t17:20:00.000,2022-02-28t17:20:00.000,2022-02-28t17:39:00.000,2022-02-28t17:39:00.000,2022-02-28t17:39:00.000,ams,eham,9,d27,2022-02-28t19:35:00.000,2022-02-28t19:24:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,16.0,2022-03-03t17:20:00.000,2022-03-03t17:36:00.000,2022-03-03t17:36:00.000,2022-03-03t17:36:00.000,2022-03-03t17:36:00.000,ams,eham,13,a08,2022-03-03t19:40:00.000,2022-03-03t19:24:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,16.0,2022-03-04t17:20:00.000,2022-03-04t17:20:00.000,2022-03-04t17:36:00.000,2022-03-04t17:36:00.000,2022-03-04t17:36:00.000,ams,eham,13,a08,2022-03-04t19:35:00.000,2022-03-04t19:25:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,4,19.0,2022-03-06t17:20:00.000,2022-03-06t17:20:00.000,2022-03-06t17:39:00.000,2022-03-06t17:39:00.000,2022-03-06t17:39:00.000,ams,eham,11,d25,2022-03-06t19:35:00.000,2022-03-06t19:30:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,3.0,2022-03-07t17:20:00.000,2022-03-07t17:22:00.000,2022-03-07t17:22:00.000,2022-03-07t17:22:00.000,2022-03-07t17:22:00.000,ams,eham,8,a08,2022-03-07t19:35:00.000,2022-03-07t19:12:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,2.0,2022-03-10t17:20:00.000,2022-03-10t17:20:00.000,2022-03-10t17:21:00.000,2022-03-10t17:21:00.000,2022-03-10t17:21:00.000,ams,eham,9,d28,2022-03-10t19:40:00.000,2022-03-10t19:12:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,5.0,2022-03-11t17:20:00.000,2022-03-11t17:20:00.000,2022-03-11t17:25:00.000,2022-03-11t17:25:00.000,2022-03-11t17:25:00.000,ams,eham,9,a08,2022-03-11t19:35:00.000,2022-03-11t19:16:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,23.0,2022-03-13t17:20:00.000,2022-03-13t17:35:00.000,2022-03-13t17:42:00.000,2022-03-13t17:42:00.000,2022-03-13t17:42:00.000,ams,eham,13,a08,2022-03-13t19:35:00.000,2022-03-13t19:33:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,14.0,2022-03-14t17:20:00.000,2022-03-14t17:20:00.000,2022-03-14t17:34:00.000,2022-03-14t17:34:00.000,2022-03-14t17:34:00.000,ams,eham,11,d28,2022-03-14t19:35:00.000,2022-03-14t19:21:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,8.0,2022-03-17t17:20:00.000,2022-03-17t17:25:00.000,2022-03-17t17:27:00.000,2022-03-17t17:27:00.000,2022-03-17t17:27:00.000,ams,eham,9,d25,2022-03-17t19:40:00.000,2022-03-17t19:19:00.000,klm,kl,klm,920,kl920,klm920,,2022-03-17t19:18:00.000,2022-03-17t19:18:00.000,2022-03-17t19:18:00.000,
departure,active,sou,eghi,8,33.0,2022-03-18t17:20:00.000,2022-03-18t17:35:00.000,2022-03-18t17:53:00.000,2022-03-18t17:53:00.000,2022-03-18t17:53:00.000,ams,eham,11,d23,2022-03-18t19:35:00.000,2022-03-18t19:44:00.000,klm,kl,klm,920,kl920,klm920,2,,,,9.0
departure,active,sou,eghi,8,18.0,2022-03-20t17:20:00.000,2022-03-20t17:20:00.000,2022-03-20t17:38:00.000,2022-03-20t17:38:00.000,2022-03-20t17:38:00.000,ams,eham,9,a08,2022-03-20t19:35:00.000,2022-03-20t19:28:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,5.0,2022-03-21t17:20:00.000,2022-03-21t17:20:00.000,2022-03-21t17:24:00.000,2022-03-21t17:24:00.000,2022-03-21t17:24:00.000,ams,eham,13,a08,2022-03-21t19:35:00.000,2022-03-21t19:07:00.000,klm,kl,klm,920,kl920,klm920,,2022-03-21t19:09:00.000,2022-03-21t19:09:00.000,2022-03-21t19:09:00.000,
departure,active,sou,eghi,8,9.0,2022-03-24t17:20:00.000,2022-03-24t17:20:00.000,2022-03-24t17:28:00.000,2022-03-24t17:28:00.000,2022-03-24t17:28:00.000,ams,eham,13,a08,2022-03-24t19:40:00.000,2022-03-24t19:14:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,19.0,2022-03-25t17:20:00.000,2022-03-25t17:20:00.000,2022-03-25t17:39:00.000,2022-03-25t17:39:00.000,2022-03-25t17:39:00.000,ams,eham,13,a08,2022-03-25t19:35:00.000,2022-03-25t19:30:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,41.0,2022-03-27t17:20:00.000,2022-03-27t17:35:00.000,2022-03-27t18:00:00.000,2022-03-27t18:00:00.000,2022-03-27t18:00:00.000,ams,eham,13,a08,2022-03-27t19:35:00.000,2022-03-27t19:50:00.000,klm,kl,klm,920,kl920,klm920,2,,,,16.0
departure,active,sou,eghi,8,15.0,2022-03-28t17:20:00.000,2022-03-28t17:20:00.000,2022-03-28t17:35:00.000,2022-03-28t17:35:00.000,2022-03-28t17:35:00.000,ams,eham,9,d25,2022-03-28t19:35:00.000,2022-03-28t19:20:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,7.0,2022-03-29t17:20:00.000,2022-03-29t17:20:00.000,2022-03-29t17:26:00.000,2022-03-29t17:26:00.000,2022-03-29t17:26:00.000,ams,eham,12,d18,2022-03-29t19:35:00.000,2022-03-29t19:16:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,10.0,2022-03-30t17:20:00.000,2022-03-30t17:20:00.000,2022-03-30t17:30:00.000,2022-03-30t17:30:00.000,2022-03-30t17:30:00.000,ams,eham,9,a08,2022-03-30t19:35:00.000,2022-03-30t19:18:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,32.0,2022-03-31t17:20:00.000,2022-03-31t17:30:00.000,2022-03-31t17:51:00.000,2022-03-31t17:51:00.000,2022-03-31t17:51:00.000,ams,eham,10,d22,2022-03-31t19:35:00.000,2022-03-31t19:42:00.000,klm,kl,klm,920,kl920,klm920,2,,,,7.0
departure,active,sou,eghi,8,40.0,2022-04-01t17:20:00.000,2022-04-01t17:30:00.000,2022-04-01t18:00:00.000,2022-04-01t18:00:00.000,2022-04-01t18:00:00.000,ams,eham,13,a08,2022-04-01t19:35:00.000,2022-04-01t19:50:00.000,klm,kl,klm,920,kl920,klm920,2,,,,16.0
departure,active,sou,eghi,8,10.0,2022-04-02t17:20:00.000,2022-04-02t17:20:00.000,2022-04-02t17:30:00.000,2022-04-02t17:30:00.000,2022-04-02t17:30:00.000,ams,eham,9,d22,2022-04-02t19:35:00.000,2022-04-02t19:19:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,19.0,2022-04-03t17:20:00.000,2022-04-03t17:20:00.000,2022-04-03t17:38:00.000,2022-04-03t17:38:00.000,2022-04-03t17:38:00.000,ams,eham,11,d23,2022-04-03t19:35:00.000,2022-04-03t19:32:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8,17.0,2022-04-04t17:20:00.000,2022-04-04t17:20:00.000,2022-04-04t17:37:00.000,2022-04-04t17:37:00.000,2022-04-04t17:37:00.000,ams,eham,13,a08,2022-04-04t19:35:00.000,2022-04-04t19:29:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,10.0,2022-04-05t17:20:00.000,2022-04-05t17:30:00.000,2022-04-05t17:30:00.000,2022-04-05t17:30:00.000,2022-04-05t17:30:00.000,ams,eham,9,a08,2022-04-05t19:35:00.000,2022-04-05t19:20:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
