type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay
departure,active,bhd,egac,7,,2022-01-20t17:20:00.000,2022-01-20t17:20:00.000,2022-01-20t17:19:00.000,2022-01-20t17:19:00.000,2022-01-20t17:19:00.000,ams,eham,,12,d31,2022-01-20t19:55:00.000,2022-01-20t19:24:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,,2022-01-23t17:20:00.000,2022-01-23t17:20:00.000,2022-01-23t17:14:00.000,2022-01-23t17:14:00.000,2022-01-23t17:14:00.000,ams,eham,,11,d26,2022-01-23t19:55:00.000,2022-01-23t19:23:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,,2022-01-24t17:20:00.000,2022-01-24t17:20:00.000,2022-01-24t17:14:00.000,2022-01-24t17:14:00.000,2022-01-24t17:14:00.000,ams,eham,,8,a08,2022-01-24t19:55:00.000,2022-01-24t19:25:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,8.0,2022-01-27t17:20:00.000,2022-01-27t17:14:00.000,2022-01-27t17:28:00.000,2022-01-27t17:28:00.000,2022-01-27t17:28:00.000,ams,eham,2,10,d28,2022-01-27t19:55:00.000,2022-01-27t19:37:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,3.0,2022-01-28t17:20:00.000,2022-01-28t17:20:00.000,2022-01-28t17:22:00.000,2022-01-28t17:22:00.000,2022-01-28t17:22:00.000,ams,eham,,8,a08,2022-01-28t19:55:00.000,2022-01-28t19:29:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,23.0,2022-01-30t17:20:00.000,2022-01-30t17:26:00.000,2022-01-30t17:43:00.000,2022-01-30t17:43:00.000,2022-01-30t17:43:00.000,ams,eham,,8,a08,2022-01-30t19:55:00.000,2022-01-30t19:50:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,15.0,2022-01-31t17:20:00.000,2022-01-31t17:30:00.000,2022-01-31t17:35:00.000,2022-01-31t17:35:00.000,2022-01-31t17:35:00.000,ams,eham,,8,a08,2022-01-31t19:55:00.000,2022-01-31t19:51:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,14.0,2022-02-02t17:20:00.000,2022-02-02t17:25:00.000,2022-02-02t17:33:00.000,2022-02-02t17:33:00.000,2022-02-02t17:33:00.000,ams,eham,2,10,d31,2022-02-02t19:55:00.000,2022-02-02t19:40:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,7.0,2022-02-04t17:20:00.000,2022-02-04t17:29:00.000,2022-02-04t17:26:00.000,2022-02-04t17:26:00.000,2022-02-04t17:26:00.000,ams,eham,2,9,d28,2022-02-04t19:55:00.000,2022-02-04t19:35:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,8,47.0,2022-02-06t17:20:00.000,2022-02-06t17:20:00.000,2022-02-06t18:07:00.000,2022-02-06t18:07:00.000,2022-02-06t18:07:00.000,ams,eham,,8,a08,2022-02-06t19:55:00.000,2022-02-06t20:14:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,19.0
departure,active,bhd,egac,7,7.0,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,2022-02-07t17:26:00.000,2022-02-07t17:26:00.000,2022-02-07t17:26:00.000,ams,eham,,11,d18,2022-02-07t19:55:00.000,2022-02-07t19:33:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,18.0,2022-02-11t17:20:00.000,2022-02-11t17:30:00.000,2022-02-11t17:38:00.000,2022-02-11t17:38:00.000,2022-02-11t17:38:00.000,ams,eham,2,9,d27,2022-02-11t19:55:00.000,2022-02-11t19:42:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,2.0,2022-02-13t17:20:00.000,2022-02-13t17:23:00.000,2022-02-13t17:22:00.000,2022-02-13t17:22:00.000,2022-02-13t17:22:00.000,ams,eham,2,12,d27,2022-02-13t19:55:00.000,2022-02-13t19:38:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-02-14t17:20:00.000,2022-02-14t17:20:00.000,2022-02-14t17:14:00.000,2022-02-14t17:14:00.000,2022-02-14t17:14:00.000,ams,eham,,13,a08,2022-02-14t19:55:00.000,2022-02-14t19:29:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,cancelled,bhd,egac,,,2022-02-18t17:20:00.000,,,,,ams,eham,,,,2022-02-18t19:55:00.000,,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,cancelled,bhd,egac,,,2022-02-20t17:20:00.000,2022-02-20t17:20:00.000,,,,ams,eham,,,a08,2022-02-20t19:55:00.000,,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,30.0,2022-02-21t17:20:00.000,2022-02-21t17:25:00.000,2022-02-21t17:50:00.000,2022-02-21t17:50:00.000,2022-02-21t17:50:00.000,ams,eham,,8,a08,2022-02-21t19:55:00.000,2022-02-21t19:57:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,2.0
departure,active,bhd,egac,7,8.0,2022-02-25t17:20:00.000,2022-02-25t17:25:00.000,2022-02-25t17:28:00.000,2022-02-25t17:28:00.000,2022-02-25t17:28:00.000,ams,eham,2,10,d23,2022-02-25t19:55:00.000,2022-02-25t19:37:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,8.0,2022-02-27t17:20:00.000,2022-02-27t17:26:00.000,2022-02-27t17:28:00.000,2022-02-27t17:28:00.000,2022-02-27t17:28:00.000,ams,eham,,11,d23,2022-02-27t19:55:00.000,2022-02-27t19:48:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,19.0,2022-02-28t17:20:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,2022-02-28t17:38:00.000,ams,eham,2,10,d25,2022-02-28t19:55:00.000,2022-02-28t19:46:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,14.0,2022-02-02t17:20:00.000,2022-02-02t17:25:00.000,2022-02-02t17:33:00.000,2022-02-02t17:33:00.000,2022-02-02t17:33:00.000,ams,eham,2,10,d31,2022-02-02t19:55:00.000,2022-02-02t19:40:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,7.0,2022-02-04t17:20:00.000,2022-02-04t17:29:00.000,2022-02-04t17:26:00.000,2022-02-04t17:26:00.000,2022-02-04t17:26:00.000,ams,eham,2,9,d28,2022-02-04t19:55:00.000,2022-02-04t19:35:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,8,47.0,2022-02-06t17:20:00.000,2022-02-06t17:20:00.000,2022-02-06t18:07:00.000,2022-02-06t18:07:00.000,2022-02-06t18:07:00.000,ams,eham,,8,a08,2022-02-06t19:55:00.000,2022-02-06t20:14:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,19.0
departure,active,bhd,egac,7,7.0,2022-02-07t17:20:00.000,2022-02-07t17:20:00.000,2022-02-07t17:26:00.000,2022-02-07t17:26:00.000,2022-02-07t17:26:00.000,ams,eham,,11,d18,2022-02-07t19:55:00.000,2022-02-07t19:33:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,18.0,2022-02-11t17:20:00.000,2022-02-11t17:30:00.000,2022-02-11t17:38:00.000,2022-02-11t17:38:00.000,2022-02-11t17:38:00.000,ams,eham,2,9,d27,2022-02-11t19:55:00.000,2022-02-11t19:42:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,2.0,2022-02-13t17:20:00.000,2022-02-13t17:23:00.000,2022-02-13t17:22:00.000,2022-02-13t17:22:00.000,2022-02-13t17:22:00.000,ams,eham,2,12,d27,2022-02-13t19:55:00.000,2022-02-13t19:38:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,,2022-02-14t17:20:00.000,2022-02-14t17:20:00.000,2022-02-14t17:14:00.000,2022-02-14t17:14:00.000,2022-02-14t17:14:00.000,ams,eham,,13,a08,2022-02-14t19:55:00.000,2022-02-14t19:29:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,cancelled,bhd,egac,,,2022-02-18t17:20:00.000,,,,,ams,eham,,,,2022-02-18t19:55:00.000,,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,cancelled,bhd,egac,,,2022-02-20t17:20:00.000,2022-02-20t17:20:00.000,,,,ams,eham,,,a08,2022-02-20t19:55:00.000,,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
