type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.gate,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,departure.gate,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,brs,eggd,5.0,2022-01-01t07:05:00.000,2022-01-01t07:05:00.000,2022-01-01t07:10:00.000,2022-01-01t07:10:00.000,2022-01-01t07:10:00.000,sof,lbsf,2,2022-01-01t12:15:00.000,2022-01-01t12:05:00.000,ryanair,fr,ryr,6060,fr6060,ryr6060,,,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-01t07:15:00.000,2022-01-01t07:15:00.000,2022-01-01t07:17:00.000,2022-01-01t07:17:00.000,2022-01-01t07:17:00.000,tfs,gcts,,2022-01-01t11:25:00.000,2022-01-01t11:18:00.000,ryanair,fr,ryr,4753,fr4753,ryr4753,a6,,,,,,,,,,,,
departure,active,brs,eggd,5.0,2022-01-01t07:35:00.000,2022-01-01t07:35:00.000,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,agp,lemg,,2022-01-01t11:15:00.000,2022-01-01t11:01:00.000,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t07:45:00.000,2022-01-01t07:45:00.000,,,,gnb,lfls,,2022-01-01t10:30:00.000,,ryanair,fr,ryr,1027,fr1027,ryr1027,,,,,,,,,,,,,
departure,unknown,brs,eggd,,2022-01-01t12:05:00.000,2022-01-01t12:05:00.000,,,,tsf,liph,,2022-01-01t15:20:00.000,,ryanair,fr,ryr,3176,fr3176,ryr3176,,,,,,,,,,,,,
departure,active,brs,eggd,8.0,2022-01-01t13:00:00.000,2022-01-01t13:00:00.000,2022-01-01t13:07:00.000,2022-01-01t13:07:00.000,2022-01-01t13:07:00.000,bud,lhbp,2b,2022-01-01t16:30:00.000,2022-01-01t16:19:00.000,ryanair,fr,ryr,8206,fr8206,ryr8206,,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-01t14:00:00.000,2022-01-01t14:00:00.000,2022-01-01t14:03:00.000,2022-01-01t14:03:00.000,2022-01-01t14:03:00.000,dub,eidw,1,2022-01-01t15:05:00.000,2022-01-01t14:49:00.000,ryanair,fr,ryr,507,fr507,ryr507,6,110,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t14:35:00.000,2022-01-01t14:35:00.000,,,,lpa,gclp,,2022-01-01t18:45:00.000,,ryanair,fr,ryr,4757,fr4757,ryr4757,41,,,,,,,,,,,,
departure,active,brs,eggd,9.0,2022-01-01t15:15:00.000,2022-01-01t15:15:00.000,2022-01-01t15:23:00.000,2022-01-01t15:23:00.000,2022-01-01t15:23:00.000,bgy,lime,,2022-01-01t18:20:00.000,2022-01-01t18:04:00.000,ryanair,fr,ryr,8262,fr8262,ryr8262,,,,,,,,,,,,,
departure,active,brs,eggd,12.0,2022-01-01t15:20:00.000,2022-01-01t15:20:00.000,2022-01-01t15:31:00.000,2022-01-01t15:31:00.000,2022-01-01t15:31:00.000,poz,eppo,,2022-01-01t18:30:00.000,2022-01-01t18:23:00.000,ryanair,fr,ryr,8216,fr8216,ryr8216,,,,,,,,,,,,,
departure,active,brs,eggd,11.0,2022-01-01t17:25:00.000,2022-01-01t17:25:00.000,2022-01-01t17:35:00.000,2022-01-01t17:35:00.000,2022-01-01t17:35:00.000,alc,leal,,2022-01-01t20:50:00.000,2022-01-01t20:46:00.000,ryanair,fr,ryr,8296,fr8296,ryr8296,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t18:00:00.000,2022-01-01t18:00:00.000,,,,bcn,lebl,2,2022-01-01t21:05:00.000,,ryanair,fr,ryr,7514,fr7514,ryr7514,43,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-01t18:45:00.000,2022-01-01t18:45:00.000,2022-01-01t18:48:00.000,2022-01-01t18:48:00.000,2022-01-01t18:48:00.000,mad,lemd,1,2022-01-01t21:50:00.000,2022-01-01t21:43:00.000,ryanair,fr,ryr,155,fr155,ryr155,06,,,,,,,,,,,,
departure,active,brs,eggd,16.0,2022-01-01t19:45:00.000,2022-01-01t19:45:00.000,2022-01-01t20:00:00.000,2022-01-01t20:00:00.000,2022-01-01t20:00:00.000,wmi,epmo,,2022-01-01t23:10:00.000,2022-01-01t23:11:00.000,ryanair,fr,ryr,4135,fr4135,ryr4135,,,1.0,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-02t07:55:00.000,2022-01-02t07:55:00.000,2022-01-02t07:57:00.000,2022-01-02t07:57:00.000,2022-01-02t07:57:00.000,krk,epkk,t,2022-01-02t11:25:00.000,2022-01-02t11:03:00.000,ryanair,fr,ryr,7226,fr7226,ryr7226,,,,,,,,,,,,,
departure,active,brs,eggd,14.0,2022-01-02t08:05:00.000,2022-01-02t08:05:00.000,2022-01-02t08:18:00.000,2022-01-02t08:18:00.000,2022-01-02t08:18:00.000,dub,eidw,1,2022-01-02t09:10:00.000,2022-01-02t09:04:00.000,ryanair,fr,ryr,505,fr505,ryr505,8,108,,,,,,,,,,,
departure,active,brs,eggd,20.0,2022-01-02t08:10:00.000,2022-01-02t08:10:00.000,2022-01-02t08:29:00.000,2022-01-02t08:29:00.000,2022-01-02t08:29:00.000,ace,gcrr,1,2022-01-02t12:00:00.000,2022-01-02t12:11:00.000,ryanair,fr,ryr,4755,fr4755,ryr4755,3,,12.0,,,,,,,,,,
departure,active,brs,eggd,,2022-01-02t08:25:00.000,2022-01-02t08:25:00.000,,,,fao,lpfr,,2022-01-02t11:00:00.000,,ryanair,fr,ryr,8248,fr8248,ryr8248,,,,,,,,,,,,,
departure,active,brs,eggd,15.0,2022-01-02t08:30:00.000,2022-01-02t08:30:00.000,2022-01-02t08:44:00.000,2022-01-02t08:44:00.000,2022-01-02t08:44:00.000,tsf,liph,,2022-01-02t11:45:00.000,2022-01-02t11:33:00.000,ryanair,fr,ryr,3176,fr3176,ryr3176,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-02t13:55:00.000,2022-01-02t13:55:00.000,,,,mxp,limc,1,2022-01-02t16:55:00.000,,ryanair,fr,ryr,1176,fr1176,ryr1176,,b,,,,,,,,,,,
departure,active,brs,eggd,17.0,2022-01-02t14:00:00.000,2022-01-02t14:00:00.000,2022-01-02t14:16:00.000,2022-01-02t14:16:00.000,2022-01-02t14:16:00.000,dub,eidw,1,2022-01-02t15:05:00.000,2022-01-02t14:59:00.000,ryanair,fr,ryr,507,fr507,ryr507,8,1xs,,,,,,,,,,,
departure,active,brs,eggd,11.0,2022-01-02t14:00:00.000,2022-01-02t14:00:00.000,2022-01-02t14:10:00.000,2022-01-02t14:10:00.000,2022-01-02t14:10:00.000,noc,eikn,,2022-01-02t15:15:00.000,2022-01-02t15:11:00.000,ryanair,fr,ryr,8202,fr8202,ryr8202,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-02t15:05:00.000,2022-01-02t15:05:00.000,2022-01-02t15:05:00.000,2022-01-02t15:05:00.000,2022-01-02t15:05:00.000,wro,epwr,,2022-01-02t18:20:00.000,,ryanair,fr,ryr,8212,fr8212,ryr8212,,,,,,,,,,,,,
departure,active,brs,eggd,13.0,2022-01-02t16:05:00.000,2022-01-02t16:05:00.000,2022-01-02t16:18:00.000,2022-01-02t16:18:00.000,2022-01-02t16:18:00.000,otp,lrop,,2022-01-02t21:20:00.000,2022-01-02t21:16:00.000,ryanair,fr,ryr,5341,fr5341,ryr5341,,,,,,,,,,,,,
departure,active,brs,eggd,15.0,2022-01-02t17:00:00.000,2022-01-02t17:15:00.000,,,,agp,lemg,,2022-01-02t20:40:00.000,,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,47.0,2022-01-02t17:35:00.000,2022-01-02t17:35:00.000,2022-01-02t18:21:00.000,2022-01-02t18:21:00.000,2022-01-02t18:21:00.000,rix,evra,,2022-01-02t22:30:00.000,2022-01-02t22:50:00.000,ryanair,fr,ryr,2798,fr2798,ryr2798,,c,20.0,,,,,,,,,,
departure,active,brs,eggd,14.0,2022-01-02t17:45:00.000,2022-01-02t17:45:00.000,2022-01-02t17:58:00.000,2022-01-02t17:58:00.000,2022-01-02t17:58:00.000,alc,leal,,2022-01-02t21:10:00.000,2022-01-02t21:07:00.000,ryanair,fr,ryr,8296,fr8296,ryr8296,,,,,,,,,,,,,
departure,active,brs,eggd,23.0,2022-01-02t18:15:00.000,2022-01-02t18:15:00.000,2022-01-02t18:37:00.000,2022-01-02t18:37:00.000,2022-01-02t18:37:00.000,vie,loww,,2022-01-02t21:40:00.000,2022-01-02t21:33:00.000,ryanair,fr,ryr,7307,fr7307,ryr7307,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-02t20:25:00.000,2022-01-02t20:25:00.000,,,,bud,lhbp,2b,2022-01-02t23:55:00.000,,ryanair,fr,ryr,8206,fr8206,ryr8206,,,,,,,,,,,,,
departure,active,brs,eggd,14.0,2022-01-02t21:15:00.000,2022-01-02t21:15:00.000,2022-01-02t21:28:00.000,2022-01-02t21:28:00.000,2022-01-02t21:28:00.000,dub,eidw,1,2022-01-02t22:20:00.000,2022-01-02t22:15:00.000,ryanair,fr,ryr,509,fr509,ryr509,5,1xs,,,,,,,,,,,
departure,active,brs,eggd,3.0,2022-01-03t06:30:00.000,2022-01-03t06:30:00.000,2022-01-03t06:33:00.000,2022-01-03t06:33:00.000,2022-01-03t06:33:00.000,krk,epkk,t,2022-01-03t10:00:00.000,2022-01-03t09:42:00.000,ryanair,fr,ryr,7226,fr7226,ryr7226,,,,,,,,,,,,,
departure,active,brs,eggd,7.0,2022-01-03t06:30:00.000,2022-01-03t06:30:00.000,2022-01-03t06:36:00.000,2022-01-03t06:36:00.000,2022-01-03t06:36:00.000,rze,eprz,,2022-01-03t10:10:00.000,2022-01-03t09:55:00.000,ryanair,fr,ryr,8224,fr8224,ryr8224,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-03t07:00:00.000,2022-01-03t07:00:00.000,2022-01-03t06:59:00.000,2022-01-03t06:59:00.000,2022-01-03t06:59:00.000,bgy,lime,,2022-01-03t10:05:00.000,2022-01-03t09:34:00.000,ryanair,fr,ryr,8262,fr8262,ryr8262,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-03t07:15:00.000,2022-01-03t07:15:00.000,2022-01-03t07:13:00.000,2022-01-03t07:13:00.000,2022-01-03t07:13:00.000,alc,leal,,2022-01-03t10:40:00.000,2022-01-03t10:25:00.000,ryanair,fr,ryr,8296,fr8296,ryr8296,,,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-03t08:05:00.000,2022-01-03t08:05:00.000,2022-01-03t08:07:00.000,2022-01-03t08:07:00.000,2022-01-03t08:07:00.000,dub,eidw,1,2022-01-03t09:10:00.000,2022-01-03t08:53:00.000,ryanair,fr,ryr,505,fr505,ryr505,9,105,,,,,,,,,,,
departure,active,brs,eggd,6.0,2022-01-03t11:50:00.000,2022-01-03t11:50:00.000,2022-01-03t11:56:00.000,2022-01-03t11:56:00.000,2022-01-03t11:56:00.000,dub,eidw,1,2022-01-03t12:55:00.000,2022-01-03t12:41:00.000,ryanair,fr,ryr,507,fr507,ryr507,4,111,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-03t12:00:00.000,2022-01-03t12:00:00.000,,,,cgn,eddk,1,2022-01-03t14:25:00.000,,ryanair,fr,ryr,1591,fr1591,ryr1591,,,,,,,,,,,,,
departure,active,brs,eggd,11.0,2022-01-03t12:25:00.000,2022-01-03t12:25:00.000,2022-01-03t12:36:00.000,2022-01-03t12:36:00.000,2022-01-03t12:36:00.000,vlc,levc,1,2022-01-03t15:40:00.000,2022-01-03t15:36:00.000,ryanair,fr,ryr,4440,fr4440,ryr4440,10,,,,,,,,,,,,
departure,active,brs,eggd,8.0,2022-01-03t13:35:00.000,2022-01-03t13:35:00.000,2022-01-03t13:43:00.000,2022-01-03t13:43:00.000,2022-01-03t13:43:00.000,ace,gcrr,1,2022-01-03t17:25:00.000,2022-01-03t17:29:00.000,ryanair,fr,ryr,4755,fr4755,ryr4755,7,,5.0,,,,,,,,,,
departure,active,brs,eggd,10.0,2022-01-03t16:05:00.000,2022-01-03t16:05:00.000,2022-01-03t16:14:00.000,2022-01-03t16:14:00.000,2022-01-03t16:14:00.000,agp,lemg,,2022-01-03t19:45:00.000,2022-01-03t19:37:00.000,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,5.0,2022-01-03t16:55:00.000,2022-01-03t16:55:00.000,2022-01-03t17:00:00.000,2022-01-03t17:00:00.000,2022-01-03t17:00:00.000,kun,eyka,,2022-01-03t21:40:00.000,2022-01-03t21:29:00.000,ryanair,fr,ryr,8681,fr8681,ryr8681,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-03t18:05:00.000,2022-01-03t18:05:00.000,,,,dub,eidw,1,2022-01-03t19:10:00.000,,ryanair,fr,ryr,509,fr509,ryr509,3,103,,,,,,,,,,,
departure,active,brs,eggd,13.0,2022-01-03t18:50:00.000,2022-01-03t18:50:00.000,2022-01-03t19:02:00.000,2022-01-03t19:02:00.000,2022-01-03t19:02:00.000,gdn,epgd,,2022-01-03t22:10:00.000,2022-01-03t21:58:00.000,ryanair,fr,ryr,8254,fr8254,ryr8254,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-03t20:15:00.000,2022-01-03t20:15:00.000,2022-01-03t20:15:00.000,2022-01-03t20:15:00.000,2022-01-03t20:15:00.000,svq,lezl,1,2022-01-03t23:45:00.000,2022-01-03t23:34:00.000,ryanair,fr,ryr,6690,fr6690,ryr6690,6,,,,,,,,,,,,
departure,active,brs,eggd,3.0,2022-01-03t21:05:00.000,2022-01-03t21:05:00.000,2022-01-03t21:07:00.000,2022-01-03t21:07:00.000,2022-01-03t21:07:00.000,bcn,lebl,2,2022-01-04t00:10:00.000,2022-01-03t23:53:00.000,ryanair,fr,ryr,7514,fr7514,ryr7514,45,,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-04t07:00:00.000,2022-01-04t07:00:00.000,2022-01-04t07:01:00.000,2022-01-04t07:01:00.000,2022-01-04t07:01:00.000,dub,eidw,1,2022-01-04t08:05:00.000,2022-01-04t07:47:00.000,ryanair,fr,ryr,505,fr505,ryr505,5,109,,2022-01-04t07:43:00.000,2022-01-04t07:43:00.000,2022-01-04t07:43:00.000,,,,,,,
departure,active,brs,eggd,4.0,2022-01-04t07:00:00.000,2022-01-04t07:00:00.000,2022-01-04t07:04:00.000,2022-01-04t07:04:00.000,2022-01-04t07:04:00.000,tfs,gcts,,2022-01-04t11:10:00.000,2022-01-04t11:07:00.000,ryanair,fr,ryr,4753,fr4753,ryr4753,a5,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-04t10:00:00.000,2022-01-04t10:00:00.000,2022-01-04t10:03:00.000,2022-01-04t10:03:00.000,2022-01-04t10:03:00.000,tsf,liph,,2022-01-04t13:15:00.000,2022-01-04t12:52:00.000,ryanair,fr,ryr,3176,fr3176,ryr3176,,,,,,,,,,,,,
departure,active,brs,eggd,41.0,2022-01-04t13:00:00.000,2022-01-04t13:15:00.000,2022-01-04t13:41:00.000,2022-01-04t13:41:00.000,2022-01-04t13:41:00.000,bud,lhbp,2b,2022-01-04t16:30:00.000,2022-01-04t16:55:00.000,ryanair,fr,ryr,8206,fr8206,ryr8206,,,26.0,,,,,,,,,,
departure,active,brs,eggd,,2022-01-04t14:00:00.000,2022-01-04t14:00:00.000,,,,dub,eidw,1,2022-01-04t15:05:00.000,,ryanair,fr,ryr,507,fr507,ryr507,5,107,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-04t14:45:00.000,2022-01-04t14:45:00.000,,,,mad,lemd,1,2022-01-04t17:50:00.000,,ryanair,fr,ryr,155,fr155,ryr155,06,,,,,,,,,,,,
departure,active,brs,eggd,12.0,2022-01-04t15:55:00.000,2022-01-04t15:55:00.000,2022-01-04t16:07:00.000,2022-01-04t16:07:00.000,2022-01-04t16:07:00.000,agp,lemg,,2022-01-04t19:35:00.000,2022-01-04t19:29:00.000,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,6.0,2022-01-04t17:10:00.000,2022-01-04t17:10:00.000,2022-01-04t17:16:00.000,2022-01-04t17:16:00.000,2022-01-04t17:16:00.000,dub,eidw,1,2022-01-04t18:15:00.000,2022-01-04t17:57:00.000,ryanair,fr,ryr,509,fr509,ryr509,5,103,,,,,,,,,,,
departure,active,brs,eggd,28.0,2022-01-04t18:40:00.000,2022-01-04t18:40:00.000,2022-01-04t19:07:00.000,2022-01-04t19:07:00.000,2022-01-04t19:07:00.000,wmi,epmo,,2022-01-04t22:05:00.000,2022-01-04t22:15:00.000,ryanair,fr,ryr,4135,fr4135,ryr4135,,,11.0,,,,,,,,,,
departure,active,brs,eggd,7.0,2022-01-04t18:50:00.000,2022-01-04t18:50:00.000,2022-01-04t18:57:00.000,2022-01-04t18:57:00.000,2022-01-04t18:57:00.000,gdn,epgd,,2022-01-04t22:10:00.000,2022-01-04t21:54:00.000,ryanair,fr,ryr,8254,fr8254,ryr8254,,,,,,,,,,,,,
departure,active,brs,eggd,8.0,2022-01-04t20:15:00.000,2022-01-04t20:15:00.000,2022-01-04t20:22:00.000,2022-01-04t20:22:00.000,2022-01-04t20:22:00.000,poz,eppo,,2022-01-04t23:25:00.000,2022-01-04t23:11:00.000,ryanair,fr,ryr,8216,fr8216,ryr8216,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-05t06:45:00.000,2022-01-05t06:45:00.000,2022-01-05t06:39:00.000,2022-01-05t06:39:00.000,2022-01-05t06:39:00.000,alc,leal,,2022-01-05t10:10:00.000,2022-01-05t09:46:00.000,ryanair,fr,ryr,8296,fr8296,ryr8296,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,2022-01-05t07:00:00.000,dub,eidw,1,2022-01-05t08:05:00.000,2022-01-05t07:49:00.000,ryanair,fr,ryr,505,fr505,ryr505,5,109,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-05t09:20:00.000,2022-01-05t09:20:00.000,,,,krk,epkk,t,2022-01-05t12:50:00.000,,ryanair,fr,ryr,7226,fr7226,ryr7226,,,,,,,,,,,,,
departure,active,brs,eggd,9.0,2022-01-05t10:00:00.000,2022-01-05t10:00:00.000,2022-01-05t10:08:00.000,2022-01-05t10:08:00.000,2022-01-05t10:08:00.000,otp,lrop,,2022-01-05t15:15:00.000,2022-01-05t15:07:00.000,ryanair,fr,ryr,5341,fr5341,ryr5341,,,,,,,,,,,,,
departure,active,brs,eggd,5.0,2022-01-05t10:10:00.000,2022-01-05t10:10:00.000,2022-01-05t10:14:00.000,2022-01-05t10:14:00.000,2022-01-05t10:14:00.000,wro,epwr,,2022-01-05t13:25:00.000,2022-01-05t13:07:00.000,ryanair,fr,ryr,8212,fr8212,ryr8212,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-05t13:25:00.000,2022-01-05t13:25:00.000,2022-01-05t13:24:00.000,2022-01-05t13:24:00.000,2022-01-05t13:24:00.000,ace,gcrr,1,2022-01-05t17:15:00.000,2022-01-05t17:01:00.000,ryanair,fr,ryr,4755,fr4755,ryr4755,3,,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-05t13:45:00.000,2022-01-05t13:45:00.000,2022-01-05t13:47:00.000,2022-01-05t13:47:00.000,2022-01-05t13:47:00.000,poz,eppo,,2022-01-05t16:55:00.000,2022-01-05t16:40:00.000,ryanair,fr,ryr,8216,fr8216,ryr8216,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,dub,eidw,1,2022-01-05t15:05:00.000,2022-01-05t14:42:00.000,ryanair,fr,ryr,507,fr507,ryr507,5,108,,,,,,,,,,,
departure,active,brs,eggd,8.0,2022-01-05t14:55:00.000,2022-01-05t14:55:00.000,2022-01-05t15:02:00.000,2022-01-05t15:02:00.000,2022-01-05t15:02:00.000,bgy,lime,,2022-01-05t18:00:00.000,2022-01-05t17:40:00.000,ryanair,fr,ryr,8262,fr8262,ryr8262,,,,,,,,,,,,,
departure,active,brs,eggd,35.0,2022-01-05t17:45:00.000,2022-01-05t17:45:00.000,2022-01-05t18:20:00.000,2022-01-05t18:20:00.000,2022-01-05t18:20:00.000,bcn,lebl,2,2022-01-05t20:50:00.000,2022-01-05t21:05:00.000,ryanair,fr,ryr,7514,fr7514,ryr7514,44,,15.0,,,,,,,,,,
departure,active,brs,eggd,26.0,2022-01-05t18:30:00.000,2022-01-05t18:30:00.000,2022-01-05t18:56:00.000,2022-01-05t18:56:00.000,2022-01-05t18:56:00.000,dub,eidw,1,2022-01-05t19:35:00.000,2022-01-05t19:41:00.000,ryanair,fr,ryr,509,fr509,ryr509,8,112,7.0,,,,,,,,,,
departure,active,brs,eggd,14.0,2022-01-05t18:50:00.000,2022-01-05t18:50:00.000,2022-01-05t19:03:00.000,2022-01-05t19:03:00.000,2022-01-05t19:03:00.000,gdn,epgd,,2022-01-05t22:10:00.000,2022-01-05t22:02:00.000,ryanair,fr,ryr,8254,fr8254,ryr8254,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-06t07:00:00.000,2022-01-06t07:00:00.000,2022-01-06t06:54:00.000,2022-01-06t06:54:00.000,2022-01-06t06:54:00.000,dub,eidw,1,2022-01-06t08:05:00.000,2022-01-06t07:39:00.000,ryanair,fr,ryr,505,fr505,ryr505,5,105,,2022-01-06t07:40:00.000,2022-01-06t07:40:00.000,2022-01-06t07:40:00.000,,,,,,,
departure,active,brs,eggd,,2022-01-06t07:15:00.000,2022-01-06t07:15:00.000,2022-01-06t07:14:00.000,2022-01-06t07:14:00.000,2022-01-06t07:14:00.000,tfs,gcts,,2022-01-06t11:25:00.000,2022-01-06t11:14:00.000,ryanair,fr,ryr,4753,fr4753,ryr4753,a4,,,,,,,,,,,,
departure,active,brs,eggd,15.0,2022-01-06t08:00:00.000,2022-01-06t08:15:00.000,,,,mad,lemd,1,2022-01-06t11:05:00.000,,ryanair,fr,ryr,155,fr155,ryr155,06,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-06t10:00:00.000,2022-01-06t10:00:00.000,2022-01-06t10:00:00.000,2022-01-06t10:00:00.000,2022-01-06t10:00:00.000,rix,evra,,2022-01-06t14:55:00.000,2022-01-06t14:30:00.000,ryanair,fr,ryr,2798,fr2798,ryr2798,,c,,,,,,,,,,,
departure,active,brs,eggd,12.0,2022-01-06t10:05:00.000,2022-01-06t10:05:00.000,2022-01-06t10:17:00.000,2022-01-06t10:17:00.000,2022-01-06t10:17:00.000,mxp,limc,1,2022-01-06t13:05:00.000,2022-01-06t12:50:00.000,ryanair,fr,ryr,1176,fr1176,ryr1176,8,b,,,,,,,,,,,
departure,active,brs,eggd,9.0,2022-01-06t13:00:00.000,2022-01-06t13:00:00.000,2022-01-06t13:09:00.000,2022-01-06t13:09:00.000,2022-01-06t13:09:00.000,bud,lhbp,2b,2022-01-06t16:30:00.000,2022-01-06t16:19:00.000,ryanair,fr,ryr,8206,fr8206,ryr8206,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-06t14:00:00.000,2022-01-06t14:00:00.000,2022-01-06t13:58:00.000,2022-01-06t13:58:00.000,2022-01-06t13:58:00.000,dub,eidw,1,2022-01-06t15:05:00.000,2022-01-06t14:42:00.000,ryanair,fr,ryr,507,fr507,ryr507,4,103,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-06t17:05:00.000,2022-01-06t17:05:00.000,2022-01-06t17:07:00.000,2022-01-06t17:07:00.000,2022-01-06t17:07:00.000,fao,lpfr,,2022-01-06t19:40:00.000,2022-01-06t19:29:00.000,ryanair,fr,ryr,8248,fr8248,ryr8248,,,,,,,,,,,,,
departure,active,brs,eggd,36.0,2022-01-06t17:10:00.000,2022-01-06t17:10:00.000,2022-01-06t17:45:00.000,2022-01-06t17:45:00.000,2022-01-06t17:45:00.000,dub,eidw,1,2022-01-06t18:15:00.000,2022-01-06t18:29:00.000,ryanair,fr,ryr,509,fr509,ryr509,9,104,14.0,,,,,,,,,,
departure,active,brs,eggd,16.0,2022-01-06t18:10:00.000,2022-01-06t18:10:00.000,2022-01-06t18:26:00.000,2022-01-06t18:26:00.000,2022-01-06t18:26:00.000,wmi,epmo,,2022-01-06t21:35:00.000,2022-01-06t21:35:00.000,ryanair,fr,ryr,4135,fr4135,ryr4135,,,,,,,,,,,,,
departure,active,brs,eggd,16.0,2022-01-06t18:50:00.000,2022-01-06t18:50:00.000,2022-01-06t19:06:00.000,2022-01-06t19:06:00.000,2022-01-06t19:06:00.000,gdn,epgd,,2022-01-06t22:10:00.000,2022-01-06t22:02:00.000,ryanair,fr,ryr,8254,fr8254,ryr8254,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-06t18:55:00.000,2022-01-06t18:55:00.000,2022-01-06t18:52:00.000,2022-01-06t18:52:00.000,2022-01-06t18:52:00.000,poz,eppo,,2022-01-06t22:05:00.000,2022-01-06t21:41:00.000,ryanair,fr,ryr,8216,fr8216,ryr8216,,,,,,,,,,,,,
departure,active,brs,eggd,5.0,2022-01-06t19:15:00.000,2022-01-06t19:15:00.000,2022-01-06t19:20:00.000,2022-01-06t19:20:00.000,2022-01-06t19:20:00.000,krk,epkk,t,2022-01-06t22:45:00.000,2022-01-06t22:32:00.000,ryanair,fr,ryr,7226,fr7226,ryr7226,,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-06t19:50:00.000,2022-01-06t19:50:00.000,2022-01-06t19:53:00.000,2022-01-06t19:53:00.000,2022-01-06t19:53:00.000,agp,lemg,,2022-01-06t23:30:00.000,2022-01-06t23:15:00.000,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,14.0,2022-01-07t06:30:00.000,2022-01-07t06:30:00.000,2022-01-07t06:43:00.000,2022-01-07t06:43:00.000,2022-01-07t06:43:00.000,krk,epkk,t,2022-01-07t10:00:00.000,2022-01-07t09:51:00.000,ryanair,fr,ryr,7226,fr7226,ryr7226,,,,,,,,,,,,,
departure,active,brs,eggd,28.0,2022-01-07t06:30:00.000,2022-01-07t06:30:00.000,2022-01-07t06:58:00.000,2022-01-07t06:58:00.000,2022-01-07t06:58:00.000,rze,eprz,,2022-01-07t10:10:00.000,2022-01-07t10:16:00.000,ryanair,fr,ryr,8224,fr8224,ryr8224,,,7.0,,,,,,,,,,
departure,active,brs,eggd,13.0,2022-01-07t07:00:00.000,2022-01-07t07:00:00.000,2022-01-07t07:12:00.000,2022-01-07t07:12:00.000,2022-01-07t07:12:00.000,bgy,lime,,2022-01-07t10:05:00.000,2022-01-07t09:53:00.000,ryanair,fr,ryr,8262,fr8262,ryr8262,,,,,,,,,,,,,
