type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.terminal,departure.delay,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,ext,egte,2022-01-23t10:00:00.000,,2022-01-23t10:06:00.000,2022-01-23t10:06:00.000,2022-01-23t10:06:00.000,ace,gcrr,2022-01-23t13:50:00.000,2022-01-23t13:39:00.000,tui airways,by,tom,6700,by6700,tom6700,5,1,6.0,,,,,
departure,active,ext,egte,2022-01-24t09:45:00.000,2022-01-24t09:45:00.000,,,,lpa,gclp,2022-01-24t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,35,,,,,,,
departure,active,ext,egte,2022-01-25t11:15:00.000,,2022-01-25t11:17:00.000,2022-01-25t11:17:00.000,2022-01-25t11:17:00.000,tfs,gcts,2022-01-25t15:20:00.000,2022-01-25t14:58:00.000,tui airways,by,tom,6242,by6242,tom6242,a1,,2.0,,,,,
departure,active,ext,egte,2022-01-27t07:00:00.000,,,,,ace,gcrr,2022-01-27t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,4,1,,,,,,
departure,active,ext,egte,2022-01-27t07:00:00.000,2022-01-27t07:11:00.000,,,,ace,gcrr,2022-01-27t10:39:00.000,,tui airways,by,tom,462,by462,tom462,,,11.0,,,,,
departure,active,ext,egte,2022-01-28t07:25:00.000,,2022-01-28t07:49:00.000,2022-01-28t07:49:00.000,2022-01-28t07:49:00.000,tfs,gcts,2022-01-28t11:30:00.000,2022-01-28t11:14:00.000,tui airways,by,tom,6584,by6584,tom6584,a5,,24.0,,,,,
departure,active,ext,egte,2022-01-29t06:00:00.000,,,,,cmf,lflb,2022-01-29t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-01-29t06:00:00.000,2022-01-29t06:11:00.000,,,,cmf,lflb,2022-01-29t08:37:00.000,,tui airways,by,tom,620,by620,tom620,,,11.0,,,,,
departure,active,ext,egte,2022-01-30t10:00:00.000,,2022-01-30t10:15:00.000,2022-01-30t10:15:00.000,2022-01-30t10:15:00.000,ace,gcrr,2022-01-30t13:50:00.000,2022-01-30t13:47:00.000,tui airways,by,tom,6700,by6700,tom6700,4,1,15.0,,,,,
departure,active,ext,egte,2022-01-31t09:45:00.000,2022-01-31t09:45:00.000,2022-01-31t09:44:00.000,2022-01-31t09:44:00.000,2022-01-31t09:44:00.000,lpa,gclp,2022-01-31t13:45:00.000,2022-01-31t13:20:00.000,tui airways,by,tom,6170,by6170,tom6170,37,,,,,,,
departure,active,ext,egte,2022-02-05t17:35:00.000,2022-02-05t17:35:00.000,2022-02-05t17:47:00.000,2022-02-05t17:47:00.000,2022-02-05t17:47:00.000,alc,leal,2022-02-05t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,,,13.0,,,,,
departure,active,ext,egte,2022-02-06t09:30:00.000,2022-02-06t09:30:00.000,2022-02-06t10:16:00.000,2022-02-06t10:16:00.000,2022-02-06t10:16:00.000,agp,lemg,2022-02-06t13:00:00.000,2022-02-06t13:22:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,47.0,22.0,,,,
departure,active,ext,egte,2022-02-12t17:35:00.000,2022-02-12t17:35:00.000,2022-02-12t17:36:00.000,2022-02-12t17:36:00.000,2022-02-12t17:36:00.000,alc,leal,2022-02-12t20:50:00.000,2022-02-12t20:39:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,,,1.0,,,,,
departure,active,ext,egte,2022-02-13t09:30:00.000,2022-02-13t09:30:00.000,,,,agp,lemg,2022-02-13t13:00:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-02-19t17:35:00.000,2022-02-19t17:35:00.000,,,,alc,leal,2022-02-19t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,,,,,,,,
departure,active,ext,egte,2022-02-20t09:30:00.000,2022-02-20t09:30:00.000,,,,agp,lemg,2022-02-20t13:00:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-02-26t17:35:00.000,2022-02-26t17:35:00.000,2022-02-26t17:40:00.000,2022-02-26t17:40:00.000,2022-02-26t17:40:00.000,alc,leal,2022-02-26t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,,,6.0,,,,,
departure,active,ext,egte,2022-02-27t09:30:00.000,2022-02-27t09:30:00.000,2022-02-27t09:49:00.000,2022-02-27t09:49:00.000,2022-02-27t09:49:00.000,agp,lemg,2022-02-27t13:00:00.000,2022-02-27t12:52:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,20.0,,,,,
departure,active,ext,egte,2022-02-01t11:15:00.000,,,,,tfs,gcts,2022-02-01t15:20:00.000,,tui airways,by,tom,6242,by6242,tom6242,a1,,,,,,,
departure,active,ext,egte,2022-02-03t07:00:00.000,,,,,ace,gcrr,2022-02-03t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,3,1,,,,,,
departure,active,ext,egte,2022-02-03t07:00:00.000,2022-02-03t07:11:00.000,,,,ace,gcrr,2022-02-03t10:55:00.000,,tui airways,by,tom,462,by462,tom462,,,11.0,,,,,
departure,active,ext,egte,2022-02-05t06:00:00.000,,,,,cmf,lflb,2022-02-05t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-02-10t07:00:00.000,,,,,ace,gcrr,2022-02-10t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,5,1,,,,,,
departure,active,ext,egte,2022-02-12t06:00:00.000,,,,,cmf,lflb,2022-02-12t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,unknown,ext,egte,2022-02-17t07:00:00.000,,,,,ace,gcrr,2022-02-17t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,3,1,,,,,,
departure,active,ext,egte,2022-02-19t06:00:00.000,,,,,cmf,lflb,2022-02-19t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-02-24t07:00:00.000,,,,,ace,gcrr,2022-02-24t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,5,1,,,,,,
