type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,gla,egpf,m,36,2022-01-05t09:35:00.000,2022-01-05t09:35:00.000,2022-01-05t09:54:00.000,2022-01-05t09:54:00.000,2022-01-05t09:54:00.000,krk,epkk,t,,,2022-01-05t13:20:00.000,2022-01-05t13:11:00.000,ryanair,fr,ryr,4004,fr4004,ryr4004,19.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-05t14:00:00.000,2022-01-05t14:00:00.000,2022-01-05t13:57:00.000,2022-01-05t13:57:00.000,2022-01-05t13:57:00.000,dub,eidw,1,4,105,2022-01-05t15:00:00.000,2022-01-05t14:34:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,,2022-01-05t14:30:00.000,2022-01-05t14:30:00.000,2022-01-05t14:30:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-05t20:55:00.000,2022-01-05t20:55:00.000,2022-01-05t20:51:00.000,2022-01-05t20:51:00.000,2022-01-05t20:51:00.000,dub,eidw,1,5,102,2022-01-05t21:55:00.000,2022-01-05t21:30:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,,2022-01-05t21:24:00.000,2022-01-05t21:24:00.000,2022-01-05t21:24:00.000,,,,,,,
departure,active,gla,egpf,m,23,2022-01-06t08:40:00.000,2022-01-06t08:34:00.000,2022-01-06t08:46:00.000,2022-01-06t08:46:00.000,2022-01-06t08:46:00.000,dub,eidw,1,7,102,2022-01-06t09:40:00.000,2022-01-06t09:27:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,6.0,,,,,,,,,,
departure,active,gla,egpf,m,12e,2022-01-06t15:05:00.000,2022-01-06t14:56:00.000,2022-01-06t15:07:00.000,2022-01-06t15:07:00.000,2022-01-06t15:07:00.000,dub,eidw,1,7,104,2022-01-06t16:05:00.000,2022-01-06t15:51:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,2.0,2022-01-06t15:51:00.000,2022-01-06t15:51:00.000,2022-01-06t15:51:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-06t22:25:00.000,2022-01-06t22:25:00.000,2022-01-06t22:22:00.000,2022-01-06t22:22:00.000,2022-01-06t22:22:00.000,dub,eidw,1,4,104,2022-01-06t23:25:00.000,2022-01-06t23:00:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,,2022-01-06t22:56:00.000,2022-01-06t22:56:00.000,2022-01-06t22:56:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-07t08:40:00.000,2022-01-07t08:55:00.000,,,,dub,eidw,1,8,108,2022-01-07t09:40:00.000,,ryanair,fr,ryr,5771,fr5771,ryr5771,15.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-07t15:35:00.000,2022-01-07t15:35:00.000,2022-01-07t15:43:00.000,2022-01-07t15:43:00.000,2022-01-07t15:43:00.000,dub,eidw,1,7,113,2022-01-07t16:35:00.000,2022-01-07t16:19:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,9.0,,,,,,,,,,
departure,active,gla,egpf,m,36,2022-01-07t19:20:00.000,2022-01-07t19:20:00.000,2022-01-07t19:43:00.000,2022-01-07t19:43:00.000,2022-01-07t19:43:00.000,wro,epwr,,,,2022-01-07t22:45:00.000,2022-01-07t22:47:00.000,ryanair,fr,ryr,7672,fr7672,ryr7672,23.0,,,,3.0,,,,,,
departure,active,gla,egpf,m,7c,2022-01-07t21:40:00.000,2022-01-07t22:05:00.000,,,,dub,eidw,1,2,1xn,2022-01-07t22:40:00.000,,ryanair,fr,ryr,5775,fr5775,ryr5775,25.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-08t08:40:00.000,2022-01-08t08:40:00.000,2022-01-08t08:33:00.000,2022-01-08t08:33:00.000,2022-01-08t08:33:00.000,dub,eidw,1,7,111,2022-01-08t09:40:00.000,2022-01-08t09:13:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,,,,,,,,,,
departure,active,gla,egpf,m,27c,2022-01-08t12:05:00.000,2022-01-08t12:07:00.000,2022-01-08t12:20:00.000,2022-01-08t12:20:00.000,2022-01-08t12:20:00.000,agp,lemg,,,,2022-01-08t16:20:00.000,2022-01-08t16:19:00.000,ryanair,fr,ryr,2609,fr2609,ryr2609,15.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-08t15:35:00.000,2022-01-08t15:35:00.000,2022-01-08t15:38:00.000,2022-01-08t15:38:00.000,2022-01-08t15:38:00.000,dub,eidw,1,6,1xs,2022-01-08t16:35:00.000,2022-01-08t16:19:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,4.0,,,,,,,,,,
departure,active,gla,egpf,m,11,2022-01-08t20:20:00.000,2022-01-08t20:20:00.000,2022-01-08t20:27:00.000,2022-01-08t20:27:00.000,2022-01-08t20:27:00.000,dub,eidw,1,4,104,2022-01-08t21:20:00.000,2022-01-08t21:07:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,7.0,2022-01-08t21:07:00.000,2022-01-08t21:07:00.000,2022-01-08t21:07:00.000,,,,,,,
departure,active,gla,egpf,m,21,2022-01-09t08:40:00.000,2022-01-09t08:40:00.000,2022-01-09t08:39:00.000,2022-01-09t08:39:00.000,2022-01-09t08:39:00.000,dub,eidw,1,7,110,2022-01-09t09:40:00.000,2022-01-09t09:16:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-09t09:17:00.000,2022-01-09t09:17:00.000,2022-01-09t09:17:00.000,,,,,,,
departure,active,gla,egpf,m,36,2022-01-09t09:50:00.000,2022-01-09t09:50:00.000,2022-01-09t09:50:00.000,2022-01-09t09:50:00.000,2022-01-09t09:50:00.000,krk,epkk,t,,,2022-01-09t13:35:00.000,2022-01-09t13:07:00.000,ryanair,fr,ryr,4004,fr4004,ryr4004,1.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-09t16:00:00.000,2022-01-09t16:00:00.000,2022-01-09t16:10:00.000,2022-01-09t16:10:00.000,2022-01-09t16:10:00.000,dub,eidw,1,6,102,2022-01-09t17:00:00.000,2022-01-09t16:48:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,11.0,,,,,,,,,,
departure,active,gla,egpf,m,17,2022-01-10t08:30:00.000,2022-01-10t08:30:00.000,2022-01-10t08:28:00.000,2022-01-10t08:28:00.000,2022-01-10t08:28:00.000,dub,eidw,1,8,110,2022-01-10t09:30:00.000,2022-01-10t09:10:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-10t09:10:00.000,2022-01-10t09:10:00.000,2022-01-10t09:10:00.000,,,,,,,
departure,active,gla,egpf,m,17,2022-01-10t15:35:00.000,2022-01-10t15:35:00.000,2022-01-10t15:43:00.000,2022-01-10t15:43:00.000,2022-01-10t15:43:00.000,dub,eidw,1,8,110,2022-01-10t16:35:00.000,2022-01-10t16:19:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,8.0,,,,,,,,,,
departure,active,gla,egpf,m,22,2022-01-11t08:40:00.000,2022-01-11t08:40:00.000,2022-01-11t08:42:00.000,2022-01-11t08:42:00.000,2022-01-11t08:42:00.000,dub,eidw,1,5,109,2022-01-11t09:40:00.000,2022-01-11t09:19:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,3.0,2022-01-11t09:20:00.000,2022-01-11t09:20:00.000,2022-01-11t09:20:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-12t08:40:00.000,2022-01-12t08:40:00.000,2022-01-12t08:37:00.000,2022-01-12t08:37:00.000,2022-01-12t08:37:00.000,dub,eidw,1,5,103,2022-01-12t09:40:00.000,2022-01-12t09:16:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-12t09:12:00.000,2022-01-12t09:12:00.000,2022-01-12t09:12:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-13t08:40:00.000,2022-01-13t08:40:00.000,2022-01-13t08:36:00.000,2022-01-13t08:36:00.000,2022-01-13t08:36:00.000,dub,eidw,1,5,108,2022-01-13t09:40:00.000,2022-01-13t09:21:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-13t09:13:00.000,2022-01-13t09:13:00.000,2022-01-13t09:13:00.000,,,,,,,
